File,Sample,actin,tuba,tubb,efact,pst130_p495001
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0800,4890.5,1700.5,1844.74975,204.5,139.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0801,8289.5,3737.5,2895.75,248.5,311.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0802,6301.0,2639.5,1964.74975,216.0,134.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0803,4074.5,1713.5,1250.0005,142.0,175.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0006,3887.5,1417.0,1062.0,159.0,216.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0007,7373.0,2519.5,1933.25,354.5,143.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0008,5127.5,1993.0,1564.522,228.5,315.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0009,7871.0,2577.0,2406.75,442.0,320.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0021,6241.0,2015.0,1792.0,259.0,401.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0022,5660.5,1671.5,1941.0,330.5,338.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0023,5406.0,1766.5,1642.25,233.5,323.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0028,4851.5,1798.0,1397.0,216.5,152.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0029,5560.0,2020.5,1528.016,259.5,111.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0030,8126.0,4400.5,2450.5,287.5,262.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0031,9018.5,4483.0,2672.6035,323.5,328.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0057,5267.5,1905.5,1530.75,273.0,320.44
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0058,4604.5,1525.0,1249.0,226.5,282.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0089,7573.5,3416.5,1883.25,298.5,503.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0090,11566.0,4524.5,3054.2484999999997,525.0,959.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0504,2369.0,966.0,606.99975,144.5,165.927
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0505,0.0,0.0,0.0,0.0,0.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0507,5300.0,1829.0,1568.2495000000001,368.0,292.0
