secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Adams et al., in press	15.0250	15_0250	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Pontfaverger	France	< 20	Unknown	raw_reads/15_0250/R1.fq.gz	raw_reads/15_0250/R2.fq.gz	Philippe Briard
Adams et al., in press	15.0251	15_0251	2015/05/25	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Brokat	Infected Leaf	Unknown	Yellow Rust	Unpublished	Brokat	Infected Leaf	Unknown	Yellow Rust	Rokytnice	Czechia	30	Unknown	raw_reads/15_0251/R1.fq.gz	raw_reads/15_0251/R2.fq.gz	Vaclav Sklenar
Adams et al., in press	15.0252	15_0252	2015/05/22	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Brokat	Infected Leaf	Unknown	Yellow Rust	Unpublished	Brokat	Infected Leaf	Unknown	Yellow Rust	Kněževes	Czechia	10	Unknown	raw_reads/15_0252/R1.fq.gz	raw_reads/15_0252/R2.fq.gz	Daniel Nerad
Adams et al., in press	15.0253	15_0253	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Hingste	Germany	2-3	Unknown	raw_reads/15_0253/R1.fq.gz	raw_reads/15_0253/R2.fq.gz	Joachim Dieter Fannasch
Adams et al., in press	15.0254	15_0254	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Matrix	Infected Leaf	Unknown	Yellow Rust	Unpublished	Matrix	Infected Leaf	Unknown	Yellow Rust	Hingste	Germany	5-10	Unknown	raw_reads/15_0254/R1.fq.gz	raw_reads/15_0254/R2.fq.gz	Joachim Dieter Fannasch
Adams et al., in press	15.0255	15_0255	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Seelze	Germany	30	Unknown	raw_reads/15_0255/R1.fq.gz	raw_reads/15_0255/R2.fq.gz	Alexander Laustrodsv
Adams et al., in press	15.0256	15_0256	2015/05/19	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Primus	Infected Leaf	Unknown	Yellow Rust	Unpublished	Primus	Infected Leaf	Unknown	Yellow Rust	Gommershoven	Germany	45	Unknown	raw_reads/15_0256/R1.fq.gz	raw_reads/15_0256/R2.fq.gz	Lena Agelhen
Adams et al., in press	15.0257	15_0257	2015/05/19	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Walkendorf	Germany	5	Unknown	raw_reads/15_0257/R1.fq.gz	raw_reads/15_0257/R2.fq.gz	Christoph Palkenat
Adams et al., in press	15.0271	15_0271	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Cordiale	Infected Leaf	Unknown	Yellow Rust	Unpublished	Cordiale	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	5-10	Unknown	raw_reads/15_0271/R1.fq.gz	raw_reads/15_0271/R2.fq.gz	Menke Hopma
Adams et al., in press	15.0410	15_0410	2015/06/16	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Arkadia	Infected Leaf	Unknown	Yellow Rust	Unpublished	Arkadia	Infected Leaf	Unknown	Yellow Rust	Jarosławiec	Poland	5	Unknown	raw_reads/15_0410/R1.fq.gz	raw_reads/15_0410/R2.fq.gz	Szymon Łączny
Adams et al., in press	15.0411	15_0411	2015/06/15	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Wydma	Infected Leaf	Unknown	Yellow Rust	Unpublished	Wydma	Infected Leaf	Unknown	Yellow Rust	Jarosławiec	Poland	8	Unknown	raw_reads/15_0411/R1.fq.gz	raw_reads/15_0411/R2.fq.gz	Szymon Łączny
Adams et al., in press	15.0419	15_0419	2015/06/15	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Akteur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Akteur	Infected Leaf	Unknown	Yellow Rust	Groitzsch	Germany	3-5	Unknown	raw_reads/15_0419/R1.fq.gz	raw_reads/15_0419/R2.fq.gz	Thomas Meter
Adams et al., in press	16.0111	16_0111	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Mersea	UK	Unknown	Unknown	raw_reads/16_0111/R1.fq.gz	raw_reads/16_0111/R2.fq.gz	John Williams
Adams et al., in press	16.0113	16_0113	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Reflection	Infected Leaf	Unknown	Yellow Rust	Unpublished	Reflection	Infected Leaf	Unknown	Yellow Rust	Rougham (Suffolk)	UK	Unknown	Unknown	raw_reads/16_0113/R1.fq.gz	raw_reads/16_0113/R2.fq.gz	John Williams
Adams et al., in press	16.0114	16_0114	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Cordiale	Infected Leaf	Unknown	Yellow Rust	Unpublished	Cordiale	Infected Leaf	Unknown	Yellow Rust	Hundon	UK	Unknown	Unknown	raw_reads/16_0114/R1.fq.gz	raw_reads/16_0114/R2.fq.gz	John Williams
Adams et al., in press	16.0115	16_0115	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Lindsey	UK	Unknown	Unknown	raw_reads/16_0115/R1.fq.gz	raw_reads/16_0115/R2.fq.gz	John Williams
Adams et al., in press	16.0116	16_0116	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Reflection	Infected Leaf	Unknown	Yellow Rust	Unpublished	Reflection	Infected Leaf	Unknown	Yellow Rust	Ixworth	UK	Unknown	Unknown	raw_reads/16_0116/R1.fq.gz	raw_reads/16_0116/R2.fq.gz	John Williams
Adams et al., in press	16.0118	16_0118	2016/03/22	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Gallant	Infected Leaf	Unknown	Yellow Rust	Unpublished	Gallant	Infected Leaf	Unknown	Yellow Rust	Gipping	UK	Unknown	Unknown	raw_reads/16_0118/R1.fq.gz	raw_reads/16_0118/R2.fq.gz	John Williams
Adams et al., in press	16.0119	16_0119	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Reflection	Infected Leaf	Unknown	Yellow Rust	Unpublished	Reflection	Infected Leaf	Unknown	Yellow Rust	Stonham Aspal	UK	Unknown	Unknown	raw_reads/16_0119/R1.fq.gz	raw_reads/16_0119/R2.fq.gz	John Williams
Adams et al., in press	16.0123	16_0123	2016/05/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	Marchélepot	France	Unknown	Unknown	raw_reads/16_0123/R1.fq.gz	raw_reads/16_0123/R2.fq.gz	Jean-Charles Talbourdet
Adams et al., in press	16.0124	16_0124	2016/05/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	Marchélepot	France	Unknown	Unknown	raw_reads/16_0124/R1.fq.gz	raw_reads/16_0124/R2.fq.gz	Jean-Charles Talbourdet
Adams et al., in press	16.0125	16_0125	2016/05/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Cellule	Infected Leaf	Unknown	Yellow Rust	Unpublished	Cellule	Infected Leaf	Unknown	Yellow Rust	Loyat	France	Unknown	Unknown	raw_reads/16_0125/R1.fq.gz	raw_reads/16_0125/R2.fq.gz	Christophe Foulonneau
Adams et al., in press	16.0126	16_0126	2016/05/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Cellule	Infected Leaf	Unknown	Yellow Rust	Unpublished	Cellule	Infected Leaf	Unknown	Yellow Rust	Loyat	France	Unknown	Unknown	raw_reads/16_0126/R1.fq.gz	raw_reads/16_0126/R2.fq.gz	Christophe Foulonneau
Adams et al., in press	16.0127	16_0127	2016/05/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Azzerti	Infected Leaf	Unknown	Yellow Rust	Unpublished	Azzerti	Infected Leaf	Unknown	Yellow Rust	Neant sur Yvel	France	Unknown	Unknown	raw_reads/16_0127/R1.fq.gz	raw_reads/16_0127/R2.fq.gz	Vincent Grellier
Adams et al., in press	16.0128	16_0128	2016/05/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Azzerti	Infected Leaf	Unknown	Yellow Rust	Unpublished	Azzerti	Infected Leaf	Unknown	Yellow Rust	Neant sur Yvel	France	Unknown	Unknown	raw_reads/16_0128/R1.fq.gz	raw_reads/16_0128/R2.fq.gz	Vincent Grellier
Adams et al., in press	16.0129	16_0129	2016/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Frévin-Capelle	France	Unknown	Unknown	raw_reads/16_0129/R1.fq.gz	raw_reads/16_0129/R2.fq.gz	BASF
