secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector	Mean_Coverage	Selected
Adams et al., in press	17.0238	17_0238	2017/07/06	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Benchmark	Infected Leaf	Unknown	Yellow Rust	Unpublished	Benchmark	Infected Leaf	Unknown	Yellow Rust	Seelze	Germany	Unknown	Unknown	raw_reads/17_0238/R1.fq.gz	raw_reads/17_0238/R2.fq.gz	Jochen Prochnow	82.11719717283336	Yes
Adams et al., in press	17.0239	17_0239	2017/07/06	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Matrix	Infected Leaf	Unknown	Yellow Rust	Unpublished	Matrix	Infected Leaf	Unknown	Yellow Rust	Seelze	Germany	Unknown	Unknown	raw_reads/17_0239/R1.fq.gz	raw_reads/17_0239/R2.fq.gz	Jochen Prochnow	69.32635353254275	Yes
Adams et al., in press	17.0240	17_0240	2017/07/06	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Les Andelys	France	Unknown	Unknown	raw_reads/17_0240/R1.fq.gz	raw_reads/17_0240/R2.fq.gz	Martel	232.3557075171227	Yes
Adams et al., in press	17.0241	17_0241	2017/07/07	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	France	France	Unknown	Unknown	raw_reads/17_0241/R1.fq.gz	raw_reads/17_0241/R2.fq.gz	C. Driat	77.24619234610566	Yes
Adams et al., in press	17.0002	17_0002	2017/01/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Lili	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Lili	Infected Leaf	Unknown	Yellow Rust	Stonham Aspal	UK	Unknown	Unknown	raw_reads/17_0002/R1.fq.gz	raw_reads/17_0002/R2.fq.gz	Jon Williams	0.9928923771099407	No
Adams et al., in press	17.0003	17_0003	2017/01/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Stonham Aspal	UK	Unknown	Unknown	raw_reads/17_0003/R1.fq.gz	raw_reads/17_0003/R2.fq.gz	Jon Williams	5.404707428736996	No
Adams et al., in press	17.0065	17_0065	2017/03/22	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Claire	Infected Leaf	Unknown	Yellow Rust	Unpublished	Claire	Infected Leaf	Unknown	Yellow Rust	Foscot	UK	Unknown	Unknown	raw_reads/17_0065/R1.fq.gz	raw_reads/17_0065/R2.fq.gz	P. Metson	265.54559765077073	Yes
Adams et al., in press	17.0067	17_0067	2017/03/22	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Leeds	Infected Leaf	Unknown	Yellow Rust	Unpublished	Leeds	Infected Leaf	Unknown	Yellow Rust	Stonham Aspal	UK	Unknown	Unknown	raw_reads/17_0067/R1.fq.gz	raw_reads/17_0067/R2.fq.gz	M. Tzortzi	272.77625268215206	Yes
Adams et al., in press	17.0072	17_0072	2017/05/15	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Puerto de Santa Maria	Spain	Unknown	Unknown	raw_reads/17_0072/R1.fq.gz	raw_reads/17_0072/R2.fq.gz	Alfredo Alaheda	308.67616544577663	Yes
Adams et al., in press	17.0074	17_0074	2017/05/15	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Lebrija	Spain	Unknown	Unknown	raw_reads/17_0074/R1.fq.gz	raw_reads/17_0074/R2.fq.gz	Alfredo Alaheda	340.417730865701	Yes
Adams et al., in press	17.0076	17_0076	2017/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Irenerio	Infected Leaf	Unknown	Yellow Rust	Unpublished	Irenerio	Infected Leaf	Unknown	Yellow Rust	Orzzano dell'Emilia	Italy	Unknown	Unknown	raw_reads/17_0076/R1.fq.gz	raw_reads/17_0076/R2.fq.gz	Federico Cavina	363.49703451874643	Yes
Adams et al., in press	17.0078	17_0078	2017/05/22	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Irenerio	Infected Leaf	Unknown	Yellow Rust	Unpublished	Irenerio	Infected Leaf	Unknown	Yellow Rust	Conselice	Italy	Unknown	Unknown	raw_reads/17_0078/R1.fq.gz	raw_reads/17_0078/R2.fq.gz	Federico Cavina	393.1732276764194	Yes
Adams et al., in press	17.0081	17_0081	2017/05/29	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Benchmark	Infected Leaf	Unknown	Yellow Rust	Unpublished	Benchmark	Infected Leaf	Unknown	Yellow Rust	Hank	The Netherlands	Unknown	Unknown	raw_reads/17_0081/R1.fq.gz	raw_reads/17_0081/R2.fq.gz	A. Wammes	383.5849282603611	Yes
Adams et al., in press	17.0082	17_0082	2017/05/29	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Cellule	Infected Leaf	Unknown	Yellow Rust	Unpublished	Cellule	Infected Leaf	Unknown	Yellow Rust	Skenhuis	The Netherlands	Unknown	Unknown	raw_reads/17_0082/R1.fq.gz	raw_reads/17_0082/R2.fq.gz	R. Scholteus	168.68115257183626	Yes
Adams et al., in press	17.0084	17_0084	2017/05/29	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Bergamo	Infected Leaf	Unknown	Yellow Rust	Unpublished	Bergamo	Infected Leaf	Unknown	Yellow Rust	De Vries	The Netherlands	Unknown	Unknown	raw_reads/17_0084/R1.fq.gz	raw_reads/17_0084/R2.fq.gz	R. Scholteus	368.6083586495312	Yes
Adams et al., in press	17.0086	17_0086	2017/05/29	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Lion	Infected Leaf	Unknown	Yellow Rust	Unpublished	Lion	Infected Leaf	Unknown	Yellow Rust	Schulten beld	The Netherlands	Unknown	Unknown	raw_reads/17_0086/R1.fq.gz	raw_reads/17_0086/R2.fq.gz	R. Scholteus	382.8578056271833	Yes
Adams et al., in press	17.0104	17_0104	2017/04/07	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	LG Motown	Infected Leaf	Unknown	Yellow Rust	Unpublished	LG Motown	Infected Leaf	Unknown	Yellow Rust	Stonham Aspal	UK	Unknown	Unknown	raw_reads/17_0104/R1.fq.gz	raw_reads/17_0104/R2.fq.gz	Matthew Keane	243.90452897583103	Yes
Adams et al., in press	17.0118	17_0118	2017/04/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Siskin	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Siskin	Infected Leaf	Unknown	Yellow Rust	Rougham (Suffolk)	UK	Unknown	Unknown	raw_reads/17_0118/R1.fq.gz	raw_reads/17_0118/R2.fq.gz	Matthew Keane	289.14778408318256	Yes
Adams et al., in press	15.0612	15_0612	2015/10/07	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Adigulo AS	Ethiopia	Unknown	Unknown	raw_reads/15_0612/R1.fq.gz	raw_reads/15_0612/R2.fq.gz	David Hodson	52.42808054039871	Yes
Adams et al., in press	15.0613	15_0613	2015/10/07	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Mekana	Ethiopia	Unknown	Unknown	raw_reads/15_0613/R1.fq.gz	raw_reads/15_0613/R2.fq.gz	David Hodson	167.8604111404986	Yes
Adams et al., in press	15.0624	15_0624	2015/11/23	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Sinana	Ethiopia	Unknown	Unknown	raw_reads/15_0624/R1.fq.gz	raw_reads/15_0624/R2.fq.gz	David Hodson	21.34549758994296	No
Adams et al., in press	15.0625	15_0625	2015/11/23	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Sinana RS	Ethiopia	Unknown	Unknown	raw_reads/15_0625/R1.fq.gz	raw_reads/15_0625/R2.fq.gz	David Hodson	90.63340602636809	Yes
Adams et al., in press	15.0627	15_0627	2015/11/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Huluka	Infected Leaf	Unknown	Yellow Rust	Unpublished	Huluka	Infected Leaf	Unknown	Yellow Rust	Kasowera	Ethiopia	Unknown	Unknown	raw_reads/15_0627/R1.fq.gz	raw_reads/15_0627/R2.fq.gz	David Hodson	16.84687051114603	No
Adams et al., in press	16.0740	16_0740	2016/11/06	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Digalu	Infected Leaf	Unknown	Yellow Rust	Unpublished	Digalu	Infected Leaf	Unknown	Yellow Rust	Kora	Ethiopia	Unknown	Unknown	raw_reads/16_0740/R1.fq.gz	raw_reads/16_0740/R2.fq.gz	David Hodson	344.55168675314593	Yes
Adams et al., in press	16.0741	16_0741	2016/11/07	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Digalu	Infected Leaf	Unknown	Yellow Rust	Unpublished	Digalu	Infected Leaf	Unknown	Yellow Rust	Kora	Ethiopia	Unknown	Unknown	raw_reads/16_0741/R1.fq.gz	raw_reads/16_0741/R2.fq.gz	David Hodson	79.38839952140528	Yes
Adams et al., in press	16.0742	16_0742	2016/11/08	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Digalu	Infected Leaf	Unknown	Yellow Rust	Unpublished	Digalu	Infected Leaf	Unknown	Yellow Rust	Kora	Ethiopia	Unknown	Unknown	raw_reads/16_0742/R1.fq.gz	raw_reads/16_0742/R2.fq.gz	David Hodson	210.41171669438572	Yes
Adams et al., in press	16.0778	16_0778	2016/12/05	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Sinana	Ethiopia	Unknown	Unknown	raw_reads/16_0778/R1.fq.gz	raw_reads/16_0778/R2.fq.gz	Ayele Badebo and Bekele Abeyo	163.58099270877443	Yes
Adams et al., in press	18.0004	18_0004	2018/02/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Rwerere	Rwanda	Unknown	Unknown	raw_reads/18_0004/R1.fq.gz	raw_reads/18_0004/R2.fq.gz	David Hodson	386.4597512847543	Yes
Adams et al., in press	18.0010	18_0010	2018/03/28	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Gumasokhaka	Infected Leaf	Unknown	Yellow Rust	Unpublished	Gumasokhaka	Infected Leaf	Unknown	Yellow Rust	Punakha	Bhutan	Unknown	Unknown	raw_reads/18_0010/R1.fq.gz	raw_reads/18_0010/R2.fq.gz	David Hodson	387.40497513296924	Yes
Adams et al., in press	16.0777	16_0777	2016/12/05	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Sinana	Ethiopia	Unknown	Unknown	raw_reads/16_0777/R1.fq.gz	raw_reads/16_0777/R2.fq.gz	Ayele Badebo and Bekele Abeyo	199.16211228119252	Yes
Adams et al., in press	16.0781	16_0781	2016/12/05	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Sinana	Ethiopia	Unknown	Unknown	raw_reads/16_0781/R1.fq.gz	raw_reads/16_0781/R2.fq.gz	Ayele Badebo and Bekele Abeyo	104.74008590575771	Yes
Adams et al., in press	15.0176	15_0176	2015/05/25	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	AC Superb	Infected Leaf	Unknown	Yellow Rust	Unpublished	AC Superb	Infected Leaf	Unknown	Yellow Rust	Merchouch	Morocco	Unknown	Unknown	raw_reads/15_0176/R1.fq.gz	raw_reads/15_0176/R2.fq.gz	Richard Oliver	175.56032069532722	Yes
Adams et al., in press	15.0177	15_0177	2015/05/25	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Merchouch	Morocco	Unknown	Unknown	raw_reads/15_0177/R1.fq.gz	raw_reads/15_0177/R2.fq.gz	Richard Oliver	142.64211743749732	Yes
Adams et al., in press	15.0178	15_0178	2015/05/25	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Merchouch	Morocco	Unknown	Unknown	raw_reads/15_0178/R1.fq.gz	raw_reads/15_0178/R2.fq.gz	Richard Oliver	276.4070485537807	Yes
Adams et al., in press	15.0179	15_0179	2015/05/25	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trident	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trident	Infected Leaf	Unknown	Yellow Rust	Merchouch	Morocco	Unknown	Unknown	raw_reads/15_0179/R1.fq.gz	raw_reads/15_0179/R2.fq.gz	Richard Oliver	4.618235871245913	No
Adams et al., in press	15.0180	15_0180	2015/05/25	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Wilma	Infected Leaf	Unknown	Yellow Rust	Unpublished	Wilma	Infected Leaf	Unknown	Yellow Rust	Merchouch	Morocco	Unknown	Unknown	raw_reads/15_0180/R1.fq.gz	raw_reads/15_0180/R2.fq.gz	Richard Oliver	126.72782389493192	Yes
Adams et al., in press	15.0651	15_0651	2015/10	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Mace	Infected Leaf	Unknown	Yellow Rust	Unpublished	Mace	Infected Leaf	Unknown	Yellow Rust	Scadden	Australia	Unknown	Unknown	raw_reads/15_0651/R1.fq.gz	raw_reads/15_0651/R2.fq.gz	Belinda Cox	2.626235564333462	No
Adams et al., in press	15.0652	15_0652	2015/10	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Scadden	Australia	Unknown	Unknown	raw_reads/15_0652/R1.fq.gz	raw_reads/15_0652/R2.fq.gz	Belinda Cox	2.812390306750352	No
Adams et al., in press	15.0653	15_0653	2015/10	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Australia	Australia	Unknown	Unknown	raw_reads/15_0653/R1.fq.gz	raw_reads/15_0653/R2.fq.gz	Belinda Cox	0.4154187221692188	No
Adams et al., in press	16.0245	16_0245	2016/04/04	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Cropredy	UK	Unknown	Unknown	raw_reads/16_0245/R1.fq.gz	raw_reads/16_0245/R2.fq.gz	Matt Kerton	308.2182046580244	Yes
Adams et al., in press	17.0096	17_0096	2017/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Victo	Infected Leaf	Unknown	Yellow Rust	Unpublished	Victo	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0096/R1.fq.gz	raw_reads/17_0096/R2.fq.gz	Matt Kerton	12.281860270842031	No
Adams et al., in press	17.0097	17_0097	2017/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0097/R1.fq.gz	raw_reads/17_0097/R2.fq.gz	Matt Kerton	29.515853255790173	No
Adams et al., in press	17.0120	17_0120	2017/04/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Victo	Infected Leaf	Unknown	Yellow Rust	Unpublished	Victo	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0120/R1.fq.gz	raw_reads/17_0120/R2.fq.gz	Matt Kerton	64.66782903939253	Yes
Adams et al., in press	17.0121	17_0121	2017/04/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Robigus	Infected Leaf	Unknown	Yellow Rust	Unpublished	Robigus	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0121/R1.fq.gz	raw_reads/17_0121/R2.fq.gz	Matt Kerton	71.17343065094568	Yes
Adams et al., in press	17.0136	17_0136	2017/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	LG Generation	Infected Leaf	Unknown	Yellow Rust	Unpublished	LG Generation	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0136/R1.fq.gz	raw_reads/17_0136/R2.fq.gz	Matt Kerton	104.40411202590148	Yes
Adams et al., in press	17.0137	17_0137	2017/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	RGT Universe	Infected Leaf	Unknown	Yellow Rust	Unpublished	RGT Universe	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0137/R1.fq.gz	raw_reads/17_0137/R2.fq.gz	Matt Kerton	96.35793119508213	Yes
Adams et al., in press	17.0138	17_0138	2017/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Bennington	Infected Leaf	Unknown	Yellow Rust	Unpublished	Bennington	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0138/R1.fq.gz	raw_reads/17_0138/R2.fq.gz	Matt Kerton	23.486495684561177	No
Adams et al., in press	17.0140	17_0140	2017/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Gleam	Infected Leaf	Unknown	Yellow Rust	Unpublished	Gleam	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0140/R1.fq.gz	raw_reads/17_0140/R2.fq.gz	Matt Kerton	136.67394027826558	Yes
Adams et al., in press	17.0142	17_0142	2017/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Lili	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Lili	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0142/R1.fq.gz	raw_reads/17_0142/R2.fq.gz	Matt Kerton	129.51676804596278	Yes
Adams et al., in press	17.0143	17_0143	2017/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Shabras	Infected Leaf	Unknown	Yellow Rust	Unpublished	Shabras	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0143/R1.fq.gz	raw_reads/17_0143/R2.fq.gz	Matt Kerton	151.96822497529823	Yes
Adams et al., in press	17.0122	17_0122	2017/04/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Solstice	Infected Leaf	Unknown	Yellow Rust	Unpublished	Solstice	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0122/R1.fq.gz	raw_reads/17_0122/R2.fq.gz	Matt Kerton	236.85311783054877	Yes
Adams et al., in press	17.0123	17_0123	2017/04/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Claire	Infected Leaf	Unknown	Yellow Rust	Unpublished	Claire	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0123/R1.fq.gz	raw_reads/17_0123/R2.fq.gz	Matt Kerton	164.24262268801738	Yes
Adams et al., in press	17.0139	17_0139	2017/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Graham	Infected Leaf	Unknown	Yellow Rust	Unpublished	Graham	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0139/R1.fq.gz	raw_reads/17_0139/R2.fq.gz	Matt Kerton	29.14357491397424	No
Adams et al., in press	17.0141	17_0141	2017/05/09	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Cougar	Infected Leaf	Unknown	Yellow Rust	Unpublished	Cougar	Infected Leaf	Unknown	Yellow Rust	Wardington	UK	Unknown	Unknown	raw_reads/17_0141/R1.fq.gz	raw_reads/17_0141/R2.fq.gz	Matt Kerton	24.367318695654042	No
Adams et al., in press	16.0747	16_0747	2016/10/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Milk	Yellow Rust	Unpublished	Unknown	Infected Leaf	Milk	Yellow Rust	Pergamino	Argentina	20	Unknown	raw_reads/16_0747/R1.fq.gz	raw_reads/16_0747/R2.fq.gz	Pablo Eduardo Campos	217.59747272474905	Yes
Adams et al., in press	16.0749	16_0749	2016/10/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	DM Fuste	Infected Leaf	Milk	Yellow Rust	Unpublished	DM Fuste	Infected Leaf	Milk	Yellow Rust	Pergamino	Argentina	5	Unknown	raw_reads/16_0749/R1.fq.gz	raw_reads/16_0749/R2.fq.gz	Pablo Eduardo Campos	238.9996955417557	Yes
Adams et al., in press	16.0750	16_0750	2016/10/24	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Klein Lanza	Infected Leaf	Milk	Yellow Rust	Unpublished	Klein Lanza	Infected Leaf	Milk	Yellow Rust	Pergamino	Argentina	10	Unknown	raw_reads/16_0750/R1.fq.gz	raw_reads/16_0750/R2.fq.gz	Pablo Eduardo Campos	100.19345843139399	Yes
Adams et al., in press	16.0752	16_0752	2016/10/25	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Flowering	Yellow Rust	Unpublished	Unknown	Infected Leaf	Flowering	Yellow Rust	Victoria	Argentina	40	Unknown	raw_reads/16_0752/R1.fq.gz	raw_reads/16_0752/R2.fq.gz	Pablo Eduardo Campos	57.13696475361832	Yes
Adams et al., in press	16.0753	16_0753	2016/10/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	DM Algarrobo	Infected Leaf	Milk	Yellow Rust	Unpublished	DM Algarrobo	Infected Leaf	Milk	Yellow Rust	Paraná	Argentina	20	Unknown	raw_reads/16_0753/R1.fq.gz	raw_reads/16_0753/R2.fq.gz	Pablo Eduardo Campos	209.3693366644223	Yes
Adams et al., in press	16.0754	16_0754	2016/10/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Buck Claraz	Infected Leaf	Milk	Yellow Rust	Unpublished	Buck Claraz	Infected Leaf	Milk	Yellow Rust	Paraná	Argentina	10	Unknown	raw_reads/16_0754/R1.fq.gz	raw_reads/16_0754/R2.fq.gz	Pablo Eduardo Campos	54.012988570042026	Yes
Adams et al., in press	16.0755	16_0755	2016/10/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	DM Cambium	Infected Leaf	Milk	Yellow Rust	Unpublished	DM Cambium	Infected Leaf	Milk	Yellow Rust	Paraná	Argentina	5	Unknown	raw_reads/16_0755/R1.fq.gz	raw_reads/16_0755/R2.fq.gz	Pablo Eduardo Campos	66.18843679011742	Yes
Adams et al., in press	16.0756	16_0756	2016/10/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	DM Ceibo	Infected Leaf	Milk	Yellow Rust	Unpublished	DM Ceibo	Infected Leaf	Milk	Yellow Rust	Paraná	Argentina	5	Unknown	raw_reads/16_0756/R1.fq.gz	raw_reads/16_0756/R2.fq.gz	Pablo Eduardo Campos	20.494560842360855	No
Adams et al., in press	16.0757	16_0757	2016/10/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	DM Fuste	Infected Leaf	Milk	Yellow Rust	Unpublished	DM Fuste	Infected Leaf	Milk	Yellow Rust	Paraná	Argentina	10	Unknown	raw_reads/16_0757/R1.fq.gz	raw_reads/16_0757/R2.fq.gz	Pablo Eduardo Campos	187.21752470902837	Yes
Adams et al., in press	16.0758	16_0758	2016/10/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Klein León	Infected Leaf	Milk	Yellow Rust	Unpublished	Klein León	Infected Leaf	Milk	Yellow Rust	Paraná	Argentina	10	Unknown	raw_reads/16_0758/R1.fq.gz	raw_reads/16_0758/R2.fq.gz	Pablo Eduardo Campos	172.49118959714474	Yes
Adams et al., in press	16.0760	16_0760	2016/10/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Milk	Yellow Rust	Unpublished	Unknown	Infected Leaf	Milk	Yellow Rust	Cañada Rosquin	Argentina	40	Unknown	raw_reads/16_0760/R1.fq.gz	raw_reads/16_0760/R2.fq.gz	Pablo Eduardo Campos	242.33743078769365	Yes
